Name;Ticker;AUM
SPDR® Bloomberg Barclays 1-3 Month T-Bill ETF;BIL;$12,879.37 M
SPDR® Bloomberg Barclays 3-12 Month T-Bill ETF;BILS;$10.00 M
SPDR® Bloomberg Barclays International Treasury Bond ETF;BWX;$948.46 M
SPDR® Bloomberg Barclays Short Term International Treasury Bond ETF;BWZ;$208.08 M
SPDR® S&P Kensho Clean Power ETF;CNRG;$381.08 M
SPDR® Bloomberg Barclays Convertible Securities ETF;CWB;$7,187.23 M
SPDR® MSCI ACWI ex-US ETF;CWI;$1,788.84 M
SPDR® Global Dow ETF;DGT;$97.98 M
SPDR® Dow Jones® Industrial Average ETF Trust;DIA;$29,690.49 M
SPDR® S&P® International Dividend ETF;DWX;$642.91 M
SPDR® Bloomberg Barclays Emerging Markets Local Bond ETF;EBND;$1,319.33 M
SPDR® S&P Emerging Markets Dividend ETF;EDIV;$294.06 M
SPDR® MSCI Emerging Markets Fossil Fuel Reserves Free ETF;EEMX;$173.94 M
SPDR® MSCI EAFE Fossil Fuel Reserves Free ETF;EFAX;$241.71 M
SPDR® S&P 500® ESG ETF;EFIV;$334.49 M
SPDR® Bloomberg Barclays Emerging Markets USD Bond ETF;EMHC;$176.86 M
SPDR® DoubleLine® Emerging Markets Fixed Income ETF;EMTL;$97.80 M
SPDR® S&P® Emerging Markets Small Cap ETF;EWX;$650.45 M
SPDR® EURO STOXX 50® ETF;FEZ;$2,581.76 M
SPDR® SSGA Fixed Income Sector Rotation ETF;FISR;$100.15 M
SPDR® S&P Kensho Future Security ETF;FITE;$24.74 M
SPDR® Bloomberg Barclays Investment Grade Floating Rate ETF;FLRN;$2,450.19 M
SPDR® SSGA Global Allocation ETF;GAL;$290.57 M
SPDR® S&P® Global Infrastructure ETF;GII;$452.52 M
SPDR® Gold Shares;GLD;$56,822.11 M
SPDR® Gold MiniShares℠ Trust;GLDM;$4,518.54 M
SPDR® S&P® Emerging Asia Pacific ETF;GMF;$609.11 M
SPDR® S&P® Global Natural Resources ETF;GNR;$2,380.08 M
SPDR® S&P® International Small Cap ETF;GWX;$826.69 M
SPDR® S&P® China ETF;GXC;$1,745.42 M
SPDR® S&P Kensho Smart Mobility ETF;HAIL;$177.16 M
SPDR® Nuveen Bloomberg Barclays High Yield Municipal Bond ETF;HYMB;$1,825.05 M
SPDR® Bloomberg Barclays International Corporate Bond ETF;IBND;$176.23 M
SPDR® SSGA Income Allocation ETF;INKM;$107.76 M
SPDR® Bloomberg Barclays High Yield Bond ETF;JNK;$7,902.80 M
SPDR® S&P® Bank ETF;KBE;$3,451.93 M
SPDR® S&P® Capital Markets ETF;KCE;$194.47 M
SPDR® S&P® Insurance ETF;KIE;$497.11 M
SPDR® S&P Kensho New Economies Composite ETF;KOMP;$2,050.35 M
SPDR® S&P® Regional Banking ETF;KRE;$5,281.28 M
SPDR® SSGA US Large Cap Low Volatility Index ETF;LGLV;$631.67 M
SPDR® MSCI ACWI Low Carbon Target ETF;LOWC;$115.87 M
SPDR® Nuveen Municipal Bond ETF;MBND;$44.81 M
SPDR® S&P MIDCAP 400® ETF Trust;MDY;$20,981.91 M
SPDR® S&P 400™ Mid Cap Growth ETF;MDYG;$1,686.71 M
SPDR® S&P 400™ Mid Cap Value ETF;MDYV;$1,508.47 M
SPDR® S&P® 1500 Momentum Tilt ETF;MMTM;$99.51 M
SPDR® S&P® North American Natural Resources ETF;NANR;$511.95 M
SPDR® Loomis Sayles Opportunistic Bond ETF;OBND;$42.00 M
SPDR® Russell 1000 Momentum Focus ETF;ONEO;$318.94 M
SPDR® Russell 1000 Low Volatility Focus ETF;ONEV;$570.51 M
SPDR® Russell 1000 Yield Focus ETF;ONEY;$701.70 M
SPDR® ICE Preferred Securities ETF;PSK;$1,492.90 M
SPDR® MSCI EAFE StrategicFactors℠ ETF;QEFA;$815.76 M
SPDR® MSCI Emerging Markets StrategicFactors℠ ETF;QEMM;$82.20 M
SPDR® MSCI USA StrategicFactors℠ ETF;QUS;$984.95 M
SPDR® MSCI World StrategicFactors℠ ETF;QWLD;$52.88 M
SPDR® Bloomberg SASB® Corporate Bond ESG Select ETF;RBND;$29.77 M
SPDR® SSGA Multi-Asset Real Return ETF;RLY;$160.80 M
SPDR® S&P Kensho Final Frontiers ETF;ROKT;$21.72 M
SPDR® Dow Jones® Global Real Estate ETF;RWO;$1,692.66 M
SPDR® Dow Jones® REIT ETF;RWR;$1,920.73 M
SPDR® Dow Jones® International Real Estate ETF;RWX;$871.62 M
SPDR® S&P® Dividend ETF;SDY;$19,575.78 M
SPDR® SSGA Gender Diversity Index ETF;SHE;$288.59 M
SPDR® Nuveen Bloomberg Barclays Short Term Municipal Bond ETF;SHM;$5,056.80 M
SPDR® S&P Kensho Intelligent Structures ETF;SIMS;$53.33 M
SPDR® Bloomberg Barclays Short Term High Yield Bond ETF;SJNK;$4,734.10 M
SPDR® S&P 600™ Small Cap ETF;SLY;$1,775.74 M
SPDR® S&P 600™ Small Cap Growth ETF;SLYG;$2,355.07 M
SPDR® S&P 600™ Small Cap Value ETF;SLYV;$4,074.26 M
SPDR® SSGA US Small Cap Low Volatility Index ETF;SMLV;$219.99 M
SPDR® Portfolio Aggregate Bond ETF;SPAB;$6,593.44 M
SPDR® Portfolio Corporate Bond ETF;SPBO;$439.60 M
