;;;;;;;;
ПАО «Мосэнерго»;АО;MSNG;0.38;0.38;да;да;нет;нет
Adobe Inc.;акции;ADBE_SPB;0.405;;нет;нет;нет;да
Alphabet Inc. Class A;акции;GOOGL_SPB;0.405;;нет;нет;нет;да
Alphabet Inc. Class C;акции;GOOG_SPB;0.405;;нет;нет;нет;да
Amazon.com, Inc.;акции;AMZN_SPB;0.36;;нет;нет;нет;да
American Airlines Group;акции;AAL_SPB;0.425;;нет;нет;нет;да
Apple Inc.;акции;AAPL_SPB;0.42;;нет;нет;нет;да
AT&T INC.;акции;T_SPB;0.385;;нет;нет;нет;да
Bank of America Corporation;акции;BAC_SPB;0.405;;нет;нет;нет;да
Berkshire Hathaway Inc.;акции;BRK B_SPB;0.34;;нет;нет;нет;да
Chevron Corporation;акции;CVX_SPB;0.434;;нет;нет;нет;да
Caterpillar Inc.;акции;CAT_SPB;0.4;;нет;нет;нет;да
Fidelity National Information Services, Inc.;акции;FIS_SPB;0.35;;нет;нет;нет;да
American Tower Corporation;акции;AMT_SPB;0.35;;нет;нет;нет;да
Danaher Corporation;акции;DHR_SPB;0.35;;нет;нет;нет;да
Becton, Dickinson and Company;акции;BDX_SPB;0.35;;нет;нет;нет;да
Activision Blizzard, Inc.;акции;ATVI_SPB;0.4;;нет;нет;нет;да
Accenture plc;акции;ACN_SPB;0.35;;нет;нет;нет;да
Applied Materials, Inc.;акции;AMAT_SPB;0.4;;нет;нет;нет;да
Anthem, Inc.;акции;ANTM_SPB;0.35;;нет;нет;нет;да
United Parcel Service, Inc.;акции;UPS_SPB;0.35;;нет;нет;нет;да
Vertex Pharmaceuticals Incorporated;акции;VRTX_SPB;0.35;;нет;нет;нет;да
Newmont Goldcorp Corporation;акции;NEM_SPB;0.4;;нет;нет;нет;да
The TJX Companies, Inc.;акции;TJX_SPB;0.35;;нет;нет;нет;да
The Charles Schwab Corporation;акции;SCHW_SPB;0.35;;нет;нет;нет;да
Fiserv, Inc.;акции;FISV_SPB;0.35;;нет;нет;нет;да
Altria Group, Inc.;акции;MO_SPB;0.35;;нет;нет;нет;да
Philip Morris International Inc.;акции;PM_SPB;0.35;;нет;нет;нет;да
S&P Global Inc.;акции;SPGI_SPB;0.35;;нет;нет;нет;да
Intuitive Surgical, Inc.;акции;ISRG_SPB;0.35;;нет;нет;нет;да
Cisco Systems, Inc.;акции;CSCO_SPB;0.36;;нет;нет;нет;да
Citigroup Inc.;акции;C_SPB;0.37;;нет;нет;нет;да
Delta Air Lines;акции;DAL_SPB;0.378;;нет;нет;нет;да
EUR (евро);валюта;EUR;0.0996;0.0996;да;да;нет;нет
Evraz Group S.A.;Е/О;XS1405775377;0.18;;да;нет;да;нет
Expedia Group;акции;EXPE_SPB;0.374;;нет;нет;нет;да
Exxon Mobil Corporation;акции;XOM_SPB;0.4375;;нет;нет;нет;да
Facebook, Inc.;акции;FB_SPB;0.345;;нет;нет;нет;да
X5 Retail Group N.V (US9837E2054);АО;FIVE;0.38;0.38;нет;да;нет;нет
FXGD ETF;пай;FXGD;0.3;0.3;нет;да;нет;нет
GAZ CAPITAL S.A.;Е/О;XS0191754729;0.56;;да;нет;да;нет
GAZ CAPITAL S.A.;Е/О;XS0316524130;0.62;;да;нет;да;нет
MMC Finance DAC;Е/О;XS1589324075;0.26;;да;нет;да;нет
GPN Capital S.A.;Е/О;XS0830192711;0.24;;да;нет;да;нет
GPN Capital S.A.;Е/О;XS0997544860;0.3;;да;нет;да;нет
Intel Corporation;акции;INTC_SPB;0.39;;нет;нет;нет;да
JD.com, Inc.;акции;JD_SPB;0.375;;нет;нет;нет;да
Johnson & Johnson;акции;JNJ_SPB;0.385;;нет;нет;нет;да
JPMorgan Chase & Co.;акции;JPM_SPB;0.405;;нет;нет;нет;да
Mastercard Incorporated class A;акции;MA_SPB;0.36;;нет;нет;нет;да
Merck & Co., Inc.;акции;MRK_SPB;0.4;;нет;нет;нет;да
Microsoft Corporation;акции;MSFT_SPB;0.375;;нет;нет;нет;да
MMC Finance DAC;Е/О;XS1298447019;0.24;;да;нет;да;нет
Netflix, Inc.;акции;NFLX_SPB;0.435;;нет;нет;нет;да
Nordstrom, Inc.;акции;JWN_SPB;0.39;;нет;нет;нет;да
Novatek Finance DAC;Е/О;XS0864383723;0.26;;да;нет;да;нет
NVIDIA Corporation;акции;NVDA_SPB;0.4;;нет;нет;нет;да
Oracle Corporation;акции;ORCL_SPB;0.375;;нет;нет;нет;да
PepsiCo, Inc.;акции;PEP_SPB;0.375;;нет;нет;нет;да
Pfizer Inc.;акции;PFE_SPB;0.4;;нет;нет;нет;да
Polymetal International plc;АО;POLY;0.28;0.28;да;да;нет;нет
QUALCOMM Incorporated;акции;QCOM_SPB;0.405;;нет;нет;нет;да
Rosneft International Finance Limited;Е/О;XS0861981180;0.2;;да;нет;да;нет
Министерство Финансов РФ;Е/О;XS0767472458;0.252;;да;нет;да;нет
Министерство Финансов РФ;Е/О;XS0971721450;0.252;;да;нет;да;нет
Министерство Финансов РФ;E/O;RU000A0ZZVE6;0.18;;нет;нет;да;нет
Министерство Финансов РФ;Е/О;RU000A0JWHA4;0.252;;да;нет;да;нет
Министерство Финансов РФ;Е/О;RU000A0JXTS9;0.252;;да;нет;да;нет
Министерство Финансов РФ;Е/О;XS0088543193;0.252;;да;нет;да;нет
Министерство Финансов РФ;Е/О;RU000A0ZYYN4;0.252;;да;нет;да;нет
Министерство Финансов РФ;Е/О;XS0114288789;0.25;;да;нет;да;нет
Министерство Финансов РФ;Е/О;XS0767473852;0.35;;да;нет;да;нет
Министерство Финансов РФ;Е/О;XS0971721963;0.35;;да;нет;да;нет
Министерство Финансов РФ;Е/О;RU000A0JXU14;0.374;;да;нет;да;нет
RUSAL plc;АО;RUAL;0.5;0.5;да;да;нет;нет
Royal Dutch Shell plc;акции;RDS.A_SPB;0.35;;нет;нет;нет;да
Spirit Airlines, Inc.;акции;SAVE_SPB;0.45;;нет;нет;нет;да
Tesla, Inc.;акции;TSLA_SPB;0.35;;нет;нет;нет;да
THE BOEING COMPANY;акции;BA_SPB;0.35;;нет;нет;нет;да
THE COCA-COLA COMPANY;акции;KO_SPB;0.37;;нет;нет;нет;да
The Home Depot, Inc.;акции;HD_SPB;0.4025;;нет;нет;нет;да
